"","days_after_lift","init_inf_vect","prob_greater1"
"1",1,"100",0.495099183197199
"2",2,"100",0.50559678027921
"3",3,"100",0.521599382874775
"4",4,"100",0.546146527117031
"5",5,"100",0.560610263522885
"6",6,"100",0.579968834112481
"7",7,"100",0.596685082872928
"8",8,"100",0.624056999161777
"9",9,"100",0.641725601131542
"10",10,"100",0.655133772237008
"11",11,"100",0.679638637943016
"12",12,"100",0.695515116778908
"13",13,"100",0.710263522884882
"14",14,"100",0.726551628165878
"15",15,"100",0.739841986455982
"16",16,"100",0.745423824274852
"17",17,"100",0.766179540709812
"18",18,"100",0.780772436787997
"19",19,"100",0.789906747120132
"20",20,"100",0.799726589200273
"21",21,"100",0.808741685896566
"22",22,"100",0.816486882407777
"23",23,"100",0.829736528531709
"24",24,"100",0.838306822663336
"25",25,"100",0.849671484888305
"26",26,"100",0.852403783853829
"27",27,"100",0.862420382165605
"28",28,"100",0.868232634091195
"29",29,"100",0.871210253882179
"30",30,"100",0.880163245115014
"110",1,"1000",0.501048706595199
"210",2,"1000",0.518712905282778
"31",3,"1000",0.541394674127033
"41",4,"1000",0.564607194708824
"51",5,"1000",0.585778025655326
"61",6,"1000",0.612888814430111
"71",7,"1000",0.640503496503496
"81",8,"1000",0.66426884849816
"91",9,"1000",0.684305079209538
"101",10,"1000",0.706687587923385
"111",11,"1000",0.72636842671255
"121",12,"1000",0.749457758027826
"131",13,"1000",0.766767814167626
"141",14,"1000",0.773389209009953
"151",15,"1000",0.792834246716989
"161",16,"1000",0.806583104045654
"171",17,"1000",0.816151804936665
"181",18,"1000",0.827072506805246
"191",19,"1000",0.836465433300876
"201",20,"1000",0.850904704463209
"211",21,"1000",0.855193075898802
"221",22,"1000",0.862794731167675
"231",23,"1000",0.8701370878103
"241",24,"1000",0.879717634031559
"251",25,"1000",0.881444003828798
"261",26,"1000",0.892503856974317
"271",27,"1000",0.8939889730602
"281",28,"1000",0.900912936985081
"291",29,"1000",0.905126615902249
"301",30,"1000",0.906094255486579
"112",1,"10000",0.5
"212",2,"10000",0.553939823845836
"32",3,"10000",0.620156090939939
"42",4,"10000",0.697621661178192
"52",5,"10000",0.766225961538462
"62",6,"10000",0.816376990764308
"72",7,"10000",0.856731560186455
"82",8,"10000",0.886590809077764
"92",9,"10000",0.903065309390369
"102",10,"10000",0.9213095302303
"113",11,"10000",0.93356679369657
"122",12,"10000",0.943443839683325
"132",13,"10000",0.952769511375636
"142",14,"10000",0.958485615218817
"152",15,"10000",0.963027283944975
"162",16,"10000",0.970453524921419
"172",17,"10000",0.971478873239437
"182",18,"10000",0.975438899939462
"192",19,"10000",0.978170789012773
"202",20,"10000",0.980039583947446
"213",21,"10000",0.981906313986043
"222",22,"10000",0.983483669014375
"232",23,"10000",0.9849818959842
"242",24,"10000",0.986884978820463
"252",25,"10000",0.987297734627832
"262",26,"10000",0.989025125628141
"272",27,"10000",0.990139094881148
"282",28,"10000",0.990974513935827
"292",29,"10000",0.992661059980958
"302",30,"10000",0.992492492492492
